,val,pickup_cluster,dropoff_cluster
188,0.24354838709677418,49,9
189,0.0,3,39
190,0.08695652173913043,22,2
191,0.0,34,33
192,0.0,48,28
193,0.0,18,47
194,0.0,43,29
195,0.0,10,35
196,0.28555555555555556,47,22
197,0.0,48,23
198,0.0,18,15
199,0.20941176470588235,47,11
200,0.0,9,2
201,0.0,5,5
202,0.0,2,28
203,0.16,38,28
204,0.0,32,39
205,0.22307692307692306,48,15
206,0.0,41,22
207,0.20820512820512818,39,12
208,0.0,43,46
209,0.0,38,39
210,0.0,41,12
211,0.0,20,6
212,0.0,2,44
213,0.0,34,36
214,0.0,23,17
215,0.13846153846153847,11,5
216,0.18181818181818182,24,12
217,0.0,42,44
218,0.09090909090909091,23,21
219,0.22083333333333333,25,12
220,0.0,33,10
221,0.12727272727272726,6,12
222,0.0,48,10
223,0.3,32,11
224,0.18181818181818182,26,11
225,0.3333333333333333,34,23
226,0.22476190476190475,0,2
227,0.0,10,26
228,0.0,25,9
229,0.22363636363636363,42,41
230,0.0,1,1
231,0.21444444444444444,36,47
232,0.272,41,6
233,0.0,45,39
234,0.25,45,28
235,0.27999999999999997,1,12
236,0.2263157894736842,29,23
237,0.0,11,14
238,0.0,7,35
239,0.0,32,47
240,0.20882352941176469,42,14
241,0.0,11,46
242,0.24000000000000002,26,39
243,0.22133333333333333,33,36
244,0.11538461538461539,39,35
245,0.28,5,44
246,0.2,11,23
247,0.22307692307692306,18,9
248,0.0,29,46
249,0.0,18,23
250,0.11333333333333333,34,11
251,0.30333333333333334,7,39
252,0.20666666666666667,38,14
253,0.21391304347826087,10,0
254,0.0,9,23
255,0.0,0,36
256,0.1111111111111111,2,39
257,0.0,29,44
258,0.0,19,23
259,0.13333333333333333,43,5
260,0.21351351351351353,13,28
261,0.0,4,25
262,0.21454545454545454,38,5
263,0.0,16,5
264,0.25,19,28
265,0.0,9,22
266,0.0,5,9
267,0.2208,48,36
268,0.30000000000000004,23,48
269,0.125,39,29
270,0.0,25,29
271,0.0,43,28
272,0.21666666666666667,19,39
273,0.2803846153846154,14,10
274,0.2,32,47
275,0.22442307692307692,3,35
276,0.13793103448275862,36,39
277,0.2111111111111111,19,15
278,0.282,29,33
279,0.0,7,5
280,0.0,9,39
281,0.14285714285714285,43,11
282,0.2872727272727273,22,9
283,0.0,2,46
284,0.0,42,31
285,0.25384615384615383,10,15
286,0.0,35,35
287,0.2131578947368421,0,31
288,0.275,24,28
289,0.0,41,35
290,0.0,35,26
291,0.22,41,28
292,0.0,33,11
293,0.0,25,29
294,0.2208,9,6
295,0.0,0,39
296,0.2357142857142857,47,12
297,0.252,30,13
298,0.11894736842105262,47,22
