["23", "5"]	1
["23", "6"]	1
["23", "9"]	2
["24", "1"]	1
["24", "10"]	2
["24", "11"]	3
["24", "12"]	14
["24", "13"]	1
["24", "14"]	7
["24", "15"]	3
["24", "19"]	2
["24", "2"]	9
["24", "21"]	1
["24", "22"]	7
["24", "23"]	6
["24", "26"]	3
["24", "28"]	9
["24", "29"]	4
["24", "33"]	15
["24", "35"]	6
["24", "36"]	9
["24", "38"]	3
["24", "39"]	8
["24", "40"]	1
["24", "41"]	1
["24", "43"]	1
["24", "44"]	2
["24", "46"]	3
["24", "47"]	2
["24", "48"]	1
["24", "49"]	1
["24", "5"]	7
["24", "6"]	3
["24", "7"]	1
["24", "8"]	1
["24", "9"]	3
["25", "0"]	4
["25", "1"]	4
["25", "10"]	2
["25", "11"]	6
["25", "12"]	16
["25", "13"]	2
["25", "14"]	40
["25", "15"]	8
["25", "17"]	1
["25", "19"]	1
["25", "2"]	31
["25", "20"]	1
["25", "22"]	38
["25", "23"]	19
["25", "25"]	5
["25", "26"]	5
["25", "28"]	32
["25", "29"]	17
["25", "31"]	2
["25", "32"]	1
["25", "33"]	35
["25", "34"]	2
["25", "35"]	43
["25", "36"]	32
["25", "38"]	8
["25", "39"]	27
["25", "4"]	1
["25", "40"]	3
["25", "41"]	3
["25", "44"]	6
["25", "46"]	8
["25", "47"]	5
["25", "48"]	1
["25", "5"]	17
["25", "6"]	3
["25", "9"]	28
["26", "0"]	5
["26", "11"]	38
["26", "12"]	7
["26", "13"]	1
["26", "14"]	2
["26", "15"]	12
["26", "17"]	2
["26", "19"]	8
["26", "2"]	8
["26", "20"]	1
["26", "21"]	1
["26", "22"]	5
["26", "23"]	14
["26", "26"]	3
["26", "28"]	6
["26", "29"]	4
["26", "3"]	2
["26", "31"]	2
["26", "33"]	2
["26", "35"]	15
["26", "36"]	1
["26", "37"]	1
["26", "38"]	1
["26", "39"]	39
["26", "41"]	4
["26", "44"]	6
["26", "45"]	1
["26", "46"]	51
["26", "47"]	15
["26", "48"]	3
["26", "5"]	44
["26", "9"]	17
["27", "0"]	3
["27", "15"]	2
["27", "19"]	1
["27", "35"]	1
["27", "43"]	11
["27", "44"]	2
["27", "46"]	1
["28", "27"]	1
["29", "0"]	10
["29", "10"]	12
["29", "11"]	19
["29", "12"]	13
["29", "13"]	3
["29", "14"]	13
["29", "15"]	44
["29", "16"]	2
["29", "17"]	5
["29", "19"]	30
["29", "2"]	12
["29", "21"]	9
["29", "22"]	11
["29", "23"]	16
["29", "26"]	8
["29", "28"]	11
["29", "29"]	30
["29", "31"]	3
["29", "32"]	2
["29", "33"]	12
["29", "35"]	36
["29", "36"]	10
["29", "38"]	1
["29", "39"]	44
["29", "4"]	1
["29", "41"]	1
["29", "43"]	2
["29", "44"]	37
["29", "45"]	1
["29", "46"]	22
["29", "47"]	8
["29", "48"]	2
["29", "5"]	33
["29", "6"]	3
["29", "7"]	1
["29", "9"]	49
["3", "0"]	1
["3", "1"]	2
["3", "10"]	19
["3", "11"]	6
["3", "12"]	4
["3", "13"]	7
["3", "14"]	2
["3", "15"]	5
["3", "16"]	2
["3", "17"]	6
["3", "18"]	4
["3", "19"]	5
["3", "2"]	5
["3", "20"]	1
["3", "21"]	2
["3", "22"]	4
["3", "23"]	6
