,val,pickup_cluster,dropoff_cluster
115,4.705171931236379,48,29
116,16.827217508569404,32,47
117,12.990905652632506,9,22
118,5.323573730799412,19,13
119,7.846602655134581,19,39
120,6.81205470996725,7,11
121,2.5827181535325647,3,13
122,3.9288960968499897,19,11
123,2.4778584768482017,11,26
124,6.825413677851425,20,23
125,2.428714885331209,24,39
126,9.679283998478873,25,35
127,8.362751658203667,0,39
128,4.567477082803795,45,13
129,1.926678291003023,47,8
130,1.1750085491152553,3,25
131,3.958440472039031,3,25
132,14.399740341550842,45,2
133,8.390617327507625,43,22
134,9.591016778230392,25,14
135,4.530006036727822,43,29
136,3.7178930966438606,47,28
137,5.53717107926157,29,44
138,4.562486644458508,14,46
139,5.458956482643484,24,23
140,75.88075337972231,34,9
141,3.905916522351243,18,46
142,2.522110315005105,11,47
143,3.464091540627546,38,35
144,4.772436721580818,19,48
145,2.2096095835846863,7,26
146,5.580037002259877,39,46
147,3.834247804166592,47,12
148,inf,1,1
149,12.49777686726338,29,14
150,2.0504329589829116,18,15
151,5.062509966549589,24,22
152,8.432923264306359,45,5
153,4.836339671737332,0,19
154,9.50628083385616,35,9
155,6.8602813415934465,33,23
156,6.771908147639047,32,11
157,7.937913126281113,47,5
158,3.6935607921442877,26,48
159,5.261825674931433,42,19
160,21.09859089226703,20,14
161,6.739166558390021,8,0
162,35.25941905557489,29,23
163,9.225265816711214,33,28
164,8.012124927244816,47,19
165,9.917148263184625,5,39
166,1.834680655968676,7,17
167,11.468432759836597,34,9
168,39.15926271545239,48,9
169,8.107247516756884,43,14
170,10.684361654889484,24,33
171,5.646548437725697,19,28
172,12.345533551779365,39,39
173,4.853432383963421,49,29
174,3.403416100287934,36,0
175,21.34543406569163,13,34
176,4.38840222894069,47,26
177,3.7044008560977955,10,19
178,1.628919927251928,3,20
179,8.018902641379094,36,22
180,11.948824537806667,25,33
181,15.620674171233187,35,22
182,24.529007492689246,48,35
183,5.178123199372784,33,35
184,10.060530772596637,11,2
185,3.7986208891390665,11,15
186,inf,40,3
187,7.94912862992947,8,19
188,2.2466738365753245,49,9
189,3.053226974258638,3,39
190,8.248372998886284,22,2
191,5.193790482908285,34,33
192,26.695698398995475,48,28
193,3.202719598291165,18,47
194,4.405460114295584,43,29
195,14.059479267917183,10,35
196,10.742361891761874,47,22
197,38.122224358098094,48,23
198,6.583675173874667,18,15
199,3.395238587513538,47,11
200,32.56552612308783,9,2
201,5.358248088807193,5,5
202,4.274468809250236,2,28
203,4.659956210099658,38,28
204,3.8028855074404055,32,39
205,6.341122034883741,48,15
206,4.085169424464999,41,22
207,3.98903850718552,39,12
208,3.0310268292251705,43,46
209,6.069910093645751,38,39
210,70.95133233729022,41,12
211,2.1974375563673134,20,6
212,4.441011005251784,2,44
213,9.532699122048136,34,36
214,3.746556225997573,23,17
215,23.572675685683098,11,5
216,3.255427403106206,24,12
217,8.781832425477914,42,44
218,3.7417232373181086,23,21
219,27.544831971633705,25,12
220,3.2079565165124877,33,10
221,6.399574685800427,6,12
222,2.246280552908294,48,10
223,28.996483553188625,32,11
224,3.4247334038355066,26,11
225,13.033823531831077,34,23
226,9.716193233763132,0,2
227,4.041140990722308,10,26
228,6.8847696205037865,25,9
229,2.760356734058212,42,41
230,inf,1,1
231,3.7862410612584885,36,47
232,3.527251152530417,41,6
233,28.661724810464666,45,39
234,9.752346224730157,45,28
235,0.0011222843971463968,1,12
236,29.35214152883569,29,23
237,5.200678341236436,11,14
238,50.29907390479942,7,35
239,5.459218278269121,32,47
240,4.41888300881974,42,14
241,3.8709254087517126,11,46
242,6.912497806290005,26,39
243,5.5175825949631045,33,36
244,9.258315527210934,39,35
245,14.774850243058838,5,44
246,18.611579324461466,11,23
247,4.232048759634699,18,9
248,6.613928392640928,29,46
249,65.84189232007584,18,23
250,4.727233078195796,34,11
251,4.067502543888125,7,39
252,5.1542592847577255,38,14
253,2.2366864662666126,10,0
254,18.390229471564936,9,23
255,2.5136291759466394,0,36
256,4.9292852379257575,2,39
257,17.457082691364118,29,44
258,28.833275549284473,19,23
259,6.495444818044604,43,5
260,5.711816272615581,13,28
261,3.389871431594886,4,25
262,6.3152625824393525,38,5
263,2.4812684916281613,16,5
264,5.667044682714294,19,28
265,27.202862643472102,9,22
266,85.31077546612701,5,9
267,9.683836452763451,48,36
268,8.90255391764905,23,48
269,7.439230577337068,39,29
270,32.41827871937304,25,29
271,18.494606002293263,43,28
272,9.89603833156544,19,39
273,2.039685065522846,14,10
274,3.124847133942859,32,47
275,1.2899552097093971,3,35
276,6.034794382732295,36,39
277,21.90224027647269,19,15
278,2.829440870200592,29,33
279,7.766858511307848,7,5
280,9.091123017907051,9,39
281,3.265466772129537,43,11
282,3.67243758618611,22,9
283,5.095027779719892,2,46
284,4.15310861666654,42,31
285,5.050916505507527,10,15
286,8.901637936567669,35,35
287,5.3649514171400075,0,31
288,5.770861192614707,24,28
289,5.869888131411058,41,35
290,4.101776896459874,35,26
291,5.484401109705869,41,28
292,4.872912226432031,33,11
293,13.500411189793741,25,29
294,7.517916150654664,9,6
295,10.669001359495432,0,39
296,9.206396349451257,47,12
297,3.942030143701029,30,13
298,29.552172431116666,47,22
299,4.808470096352633,24,2
300,6.193145651688126,26,11
301,3.1480331412758322,35,46
302,10.000802652818496,5,38
303,11.026235070508152,9,39
304,2.2059847742679093,21,6
305,10.701443743902434,10,29
306,7.868577051870199,20,36
307,8.018445610932472,19,22
308,5.16616496207,35,19
309,20.607972417312272,34,12
310,2.8852517597856706,36,19
